player_name,25th,50th,75th,85th,95th,99th
Denver Broncos,6.328886177318534,10.825871056496865,14.769802110540427,17.203109975362707,20.979569107534317,25.843229212062603
Javonte Williams,7.379128114363753,11.672267109713545,15.981010702495354,18.626053001891954,22.086797321118627,26.375703682110746
Courtland Sutton,10.311974960755622,15.532704189706049,21.249762924946126,23.760594937398135,28.82952620433763,33.61374006776879
Lil'Jordan Humphrey,2.2838344523013316,5.332494592416795,8.605247773668799,10.330780097783364,12.983317119949712,15.74418726125604
Adam Trautman,1.2275541510169607,3.619971346667475,6.035438209202046,7.393789710908623,9.50866882322742,11.841985669658477
Wil Lutz,4.53494999053962,8.774770283051456,12.612038349773686,14.75023843478291,18.260240235277024,22.42804062807235
Lucas Krull,0.17538300314674377,2.195361094958666,4.056076891534475,5.017454649166649,6.704533787763362,8.55043207285382
Michael Burton,-0.05873993331172389,1.1455702339280416,2.4792097970476954,3.294412421534855,4.291872433441844,5.858198780259677
Jaleel McLaughlin,2.4749464430260213,5.1639221419650205,8.041061828328104,9.731735254669035,12.405587009580543,15.011705402626147
Nate Adkins,-0.4253894180156536,0.6034460825901333,1.7017963148783464,2.228637659123108,3.050007953493865,3.998527036080853
Marvin Mims Jr.,1.7396165963713281,4.5804177991837935,7.629022532818012,9.250266207449384,11.852926042897383,15.276755717305903
Audric Estime,1.6461128634107243,4.616919884438436,7.464222955408777,9.015751730479359,11.138957709250036,14.785663184342427
Devaughn Vele,5.0983693273901265,8.876301123574112,13.126925584801413,14.897845522255224,19.514909503289598,23.817081993724553
Bo Nix,12.982576051098938,19.023017708137804,24.83161592012893,28.066085578961758,33.7070431768599,38.19786901814701
Troy Franklin,1.8810085930907794,4.820220604775621,7.666758408684813,9.323857544865126,11.986221342386605,14.783295637385464
Cleveland Browns,1.7895365520159643,4.559158046560247,7.416035517612405,8.954448092748096,11.725969664569714,14.476939857991177
Jerry Jeudy,7.8657654359478375,12.75038990891916,17.97969255744866,20.45546253426247,24.778094291754236,30.724933316331065
Elijah Moore,5.720088924135988,9.6491145326673,13.78098530892576,15.87696076465929,20.031351334603873,23.20218503770509
Pierre Strong Jr.,-0.4318691534811152,0.6505285805161263,1.78772219078164,2.341487541192794,3.29123729095569,4.20379487767512
Nick Chubb,5.608185667788779,9.890339826146617,14.001545920314761,16.1379478881381,19.76956350873225,23.626983001735184
David Njoku,6.913001100560854,11.68682549915723,16.126217806238802,18.29571969406538,22.004537973580614,25.926167082984733
Jerome Ford,2.9342581089302584,6.270267312917202,9.43916575281063,11.093946920253432,14.089732938091862,16.82421777828953
Jaelon Darden,0.15574852700812053,1.9640090228282885,3.86086294303687,4.810076756109535,6.792242316318011,9.081441599337087
Jameis Winston,8.203617618733258,13.50222035608931,18.655690672570984,21.07458927377062,25.300104295179718,29.772329080710268
Kadarius Toney,-0.44337167296105673,0.671357387618628,1.7450109272889471,2.327367200449279,3.350893490829625,4.311197700098388
Dustin Hopkins,3.2067505232179156,6.303294908727414,9.795170352708531,11.570013211204788,14.397815277530851,17.47620041381847
Jordan Akins,1.5147576271528513,4.278177303159525,6.954411174811458,8.704433816715769,11.145209794654907,13.922749173137793
Blake Whiteheart,-0.29244066869592233,0.14168174501695502,0.5802130560716849,0.8230657150912447,1.1987540104928034,1.598128231961377
Jamari Thrash,1.0325260359703705,3.4863680852097847,5.925057328530946,7.267226782576128,9.667733095866506,11.75426590367852
