team,simulated_score
Broncos,19.538145338862464
Broncos,21.42125471484045
Broncos,21.50030406608743
Broncos,23.420379630809254
Broncos,22.283480698641238
Broncos,24.219879766724215
Broncos,26.60867849158487
Broncos,31.616578525474733
Broncos,25.667926885831456
Broncos,22.661002422893556
Broncos,22.081083291906694
Broncos,22.271770379993402
Broncos,25.71255752282442
Broncos,22.045716211804848
Broncos,18.411235424819463
Broncos,20.749919200650204
Broncos,17.246272033445273
Broncos,25.49742613938303
Broncos,23.52493154262675
Broncos,22.00604843549608
Broncos,24.416018304420476
Broncos,22.982816968488017
Broncos,23.497607870518408
Broncos,23.448335795016842
Broncos,26.054039593927193
Broncos,30.02413243153578
Broncos,28.623913818192676
Broncos,27.07302010290691
Broncos,25.186448370278605
Broncos,23.222154295622786
Broncos,22.2652373263937
Broncos,31.6404991251302
Broncos,28.738729726384275
Broncos,25.45780540859153
Broncos,26.565579950207347
Broncos,25.127882654422645
Broncos,20.79179439702212
Broncos,31.83016740553048
Broncos,23.691922720603284
Broncos,29.932722068186404
Broncos,23.47435788862704
Broncos,24.578850041552876
Broncos,20.3953049219522
Broncos,26.52785570806033
Broncos,22.923359212986806
Broncos,27.42467969668965
Broncos,25.95063571362138
Broncos,20.29414802931943
Broncos,22.001192811123513
Broncos,26.629299980059162
Broncos,26.86215238603076
Broncos,25.309041702594296
Broncos,28.415967198838285
Broncos,28.791782284284626
Broncos,26.111501199267547
Broncos,27.95008642974802
Broncos,24.661204602071578
Broncos,23.862884224320265
Broncos,22.693973630174067
Broncos,23.601670304253908
Broncos,22.581790836246007
Broncos,26.294231848108407
Broncos,27.1571404522682
Broncos,22.44014573367877
Broncos,27.031823574423093
Broncos,29.78493220994672
Broncos,21.097526458434515
Broncos,24.985507041201775
Broncos,29.004751041234986
Broncos,27.48633889457279
Broncos,20.738307193523966
Broncos,24.60796980271297
Broncos,28.054727455896277
Broncos,25.19335288135673
Broncos,26.944677792391968
Broncos,24.768016134329184
Broncos,22.02821530467353
Broncos,22.04163020365665
Broncos,36.49292356114855
Broncos,24.045704636702848
Broncos,18.09693072714524
Broncos,24.563353836311293
Broncos,26.497063899392867
Broncos,21.152595415060244
Broncos,26.67274162898388
Broncos,20.826748687154762
Broncos,21.763223652493547
Broncos,27.856789426215705
Broncos,28.368774578111033
Broncos,28.095698708376748
Broncos,22.075505187757607
Broncos,25.799122801020033
