DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
36784389,Trey Sermon,RB/FLEX,IND,NE,,4000,0,0.45,0,0.45,0.1125,0,0,0,100,22.3628,43.231,0.448907,0,0,0.3,0.8,2.4,7.4,0.395296,0,0,0.3,0.7,2,7.201,0.395296,0,0,0.3,0.7,2,7.201,0.448907,0,0,0.3,0.8,2.4,7.4,1.26948,1.17703,1.17703,1.26948,0,0,0,0,0,0.107222,1.07492,0.00657778,0.320244,1.2897,0.0112
36784687,Jha'Quan Jackson,WR/FLEX,TEN,WAS,,3000,-1,0.45,-1,0.45,0.15000000000000002,0,0,0,100,19.6082,45.400800000000004,0.447065,0,0,0,1.2,2.7,7.6,0.356275,0,0,0,0.7,2.105,7.0525,0.356155,0,0,0,0.7,2.105,7.0525,0.447065,0,0,0,1.2,2.7,7.6,1.32357,1.16014,1.1583,1.32357,0,0,0,0,0,0.18158,1.98005,0.01128,0,0,0
36784381,Kene Nwangwu,RB/FLEX,NYJ,SEA,,4000,6,0.45,6,0.45,0.1125,0,0,0,100,21.6918,43.074799999999996,0.452112,0,0,0.3,0.9,2.3,7.4,0.396352,0,0,0.3,0.7,1.9,7.3,0.396352,0,0,0.3,0.7,1.9,7.3,0.452112,0,0,0.3,0.9,2.3,7.4,1.27057,1.17899,1.17899,1.27057,0,0,0,0,0,0.11152,1.02258,0.00694,0.31752,1.27554,0.0118
36784709,Malachi Corley,WR/FLEX,NYJ,SEA,,3000,0.8,0.44,0.8,0.44,0.14666666666666667,0,0,0,100,21.6918,43.074799999999996,0.436778,0,0,0,1.2,2.6,7.7,0.349578,0,0,0,0.7,2,7.2,0.349578,0,0,0,0.7,2,7.2,0.436778,0,0,0,1.2,2.6,7.7,1.31696,1.16239,1.16239,1.31696,0,0,0,0,0,0.1744,1.79718,0.01242,0,0,0
36784405,C.J. Ham,RB/FLEX,MIN,ARI,,4000,0,0.44,,0.44,0.11,0,0,0,100,25.116,46.6256,0.436349,0,0,0.2,0.8,2.3,7.402,0.381983,0,0,0.2,0.7,1.9,7.3,0.381983,0,0,0.2,0.7,1.9,7.3,0.436349,0,0,0.2,0.8,2.3,7.402,1.27937,1.18861,1.18861,1.27937,0,0,0,0,0,0.108733,0.976172,0.0078,0.282533,1.1311,0.0119333
36784931,Stephen Sullivan,TE/FLEX,CAR,TB,Q,2500,0,0.42,0,0.42,0.16799999999999998,0,0,0,100,19.3612,46.263000000000005,0.422754,0,0,0,1.2,2.5,7.301,0.334409,0,0,0,0.7,2,6.801,0.334409,0,0,0,0.7,2,6.801,0.422754,0,0,0,1.2,2.5,7.301,1.26132,1.10129,1.10129,1.26132,0,0,0,0,0,0.176689,1.82598,0.0106667,0,0,0
36785009,Luke Farrell,TE/FLEX,JAX,HOU,,2500,0,0.41,0,0.41,0.164,0,0,0,100,20.997,46.0922,0.407476,0,0,0,0.8,2.4,7.7,0.324586,0,0,0,0.3,1.9,7.101,0.324586,0,0,0,0.3,1.9,7.101,0.407476,0,0,0,0.8,2.4,7.7,1.26826,1.11585,1.11585,1.26826,0,0,0,0,0,0.16578,1.72896,0.01156,0,0,0
36784349,Ronnie Rivers,RB/FLEX,LAR,NO,,4000,0,0.41,,0.41,0.1025,0,0,0,100,25.7916,49.4632,0.405477,0,0,0.1,0.6,2.3,7.301,0.355355,0,0,0.1,0.6,1.8,7.001,0.355355,0,0,0.1,0.6,1.8,7.001,0.405477,0,0,0.1,0.6,2.3,7.301,1.22334,1.1351,1.1351,1.22334,0,0,0,0,0,0.100244,0.941656,0.00664444,0.266156,1.07556,0.0108222
36784367,Julius Chestnut,RB/FLEX,TEN,WAS,,4000,0,0.41,0,0.41,0.1025,0,0,0,100,19.6082,45.400800000000004,0.414746,0,0,0.2,0.7,2.3,7.1,0.361957,0,0,0.2,0.7,1.9,6.901,0.361957,0,0,0.2,0.7,1.9,6.901,0.414746,0,0,0.2,0.7,2.3,7.1,1.18118,1.08761,1.08761,1.18118,0,0,0,0,0,0.10558,0.998545,0.00562,0.28724,1.19572,0.0096
36784685,Bryce Oliver,WR/FLEX,TEN,WAS,,3000,0,0.4,,0.4,0.13333333333333333,0,0,0,100,19.6082,45.400800000000004,0.395438,0,0,0,0.5,2.5,7.101,0.313569,0,0,0,0,1.9,6.001,0.313569,0,0,0,0,1.9,6.001,0.395438,0,0,0,0.5,2.5,7.101,1.22366,1.06803,1.06803,1.22366,0,0,0,0,0,0.16374,1.74278,0.00962,0,0,0
